"he's so skinny now. proud of him, and it looks very good on him. he's handsome now"
Too good to listen and feel the inner message it gives. <3
I'm falling in love with this song💓
I just covered this beautiful song. It's my first cover and it would mean a lot if you listen it on my channel and support me. Thank you.
"so legend..\nmost singer attract people with MV, digital voice, etc. but Sam Smith always impressed us even only with his pure voice. I want to see him sing with adele.. she is my favorite singer too"
Does he work out..?
even i have been watching lot of cover this song. theres no better than this. !! sam always the epic one.
Sam awesome smith! You guys should check out John Saga's version of this!
"never going to let you close to me, even when you mean the most to me my whole life"
"Too Good At Goodbyes\n\nYou must think that I'm stupid\nYou must think that I'm a fool\nYou must think that I'm new to this\nBut I have seen this all before\n\nI'm never gonna let you close to me\nEven though you mean the most to me\n'Cause every time I open up, it hurts\nSo I'm never gonna get too close to you\nEven when I mean the most to you\nIn case you go and leave me in the dirt\n\nEvery time you hurt me, the less that I cry\nAnd every time you leave me, the quicker these tears dry\nAnd every time you walk out, the less I love you\nBaby, we don't stand a chance, it's sad but it's true\n\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\n\nI know you're thinking I'm heartless\nI know you're thinking I'm cold\nI'm just protecting my innocence\nI'm just protecting my soul\n\nI'm never gonna let you close to me\nEven though you mean the most to me\n'Cause every time I open up, it hurts\nSo I'm never gonna get too close to you\nEven when I mean the most to you\nIn case you go and leave me in the dirt\n\nEvery time you hurt me, the less that I cry\nAnd every time you leave me, the quicker these tears dry\nAnd every time you walk out, the less I love you\nBaby, we don't stand a chance, it's sad but it's true\n\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nNo way that you'll see me cry\n(No way that you'll see me cry)\n\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nNo\nNo, no, no, no, no\n(I'm way too good at goodbyes)\nNo, no, no, no\nNo, no, no\n(I'm way too good at goodbyes)\n(No way that you'll see me cry)\n(I'm way too good at goodbyes)\n\n'Cause every time you hurt me, the less that I cry\nAnd every time you leave me, the quicker these tears dry\nAnd every time you walk out, the less I love you\nBaby, we don't stand a chance, it's sad but it's true\nI'm way too good at goodbyes"
woooooooooooooow this is beautiful. he never disappoints
"I'd love to see Adele singing this masterpiece, dont get me wrong, Sam is perfection as well. LOVE BOTH"
"Too Good At Goodbyes\n\nYou must think that I'm stupid\nYou must think that I'm a fool\nYou must think that I'm new to this\nBut I have seen this all before\n\nI'm never gonna let you close to me\nEven though you mean the most to me\n'Cause every time I open up, it hurts\nSo I'm never gonna get too close to you\nEven when I mean the most to you\nIn case you go and leave me in the dirt\n\nEvery time you hurt me, the less that I cry\nAnd every time you leave me, the quicker these tears dry\nAnd every time you walk out, the less I love you\nBaby, we don't stand a chance, it's sad but it's true\n\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\n\nI know you're thinking I'm heartless\nI know you're thinking I'm cold\nI'm just protecting my innocence\nI'm just protecting my soul\n\nI'm never gonna let you close to me\nEven though you mean the most to me\n'Cause every time I open up, it hurts\nSo I'm never gonna get too close to you\nEven when I mean the most to you\nIn case you go and leave me in the dirt\n\nEvery time you hurt me, the less that I cry\nAnd every time you leave me, the quicker these tears dry\nAnd every time you walk out, the less I love you\nBaby, we don't stand a chance, it's sad but it's true\n\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nNo way that you'll see me cry\n(No way that you'll see me cry)\n\nI'm way too good at goodbyes\n(I'm way too good at goodbyes)\nNo\nNo, no, no, no, no\n(I'm way too good at goodbyes)\nNo, no, no, no\nNo, no, no\n(I'm way too good at goodbyes)\n(No way that you'll see me cry)\n(I'm way too good at goodbyes)\n\n'Cause every time you hurt me, the less that I cry\nAnd every time you leave me, the quicker these tears dry\nAnd every time you walk out, the less I love you\nBaby, we don't stand a chance, it's sad but it's true\nI'm way too good at goodbyes"
Grow that beard! It will change the world! 🏳
"God gifted you a incredible voice. So dont waste it. Btw, i love this song.😊"
THE VOICE IN ORIGINAL AND THIS LIVE SHOW IS SAME  U ARE MOTHERFUCKING LEGENDARY SINGER WHO CAN HAVE A OWN ORIGINALITY SAM SMITH U HAVE THE TROPHIE ! :) <3
I wish to sing this song at church if it was a Gospel song
Sam has a warmth and inviting feeling in his songs. It's very likable.
OMG. I didn't notice this before. Why are the black people on one side and the white people on the other? Segregation in a single music video...disgraceful.
"I just stare how he could lost weight and I can say, that I loved him much more when he was fat :D"
Can't wait for an album
"Lyrics=Cause every time you hurt me,the less that i cry\n\nMe=Cause every time you hurt me,the list that i buy...."
some people dislike this????fuck shit!!!! your jealousing...hahaha....watching....here!!!!#PHILLIPHINES! go SAM SMITH!!!!! YOUR MY BIGGEST INPIRATION!!!
