Buena Cancion🎶🎵
Para Shakira no pasan los años ... :)
Soy dominicana!!!!
Eres un bomba Shakira al igual q Nicky Jam..\nFelicidades x vuestro tema.😉😘
like si piensas que shakira es mas linda con pelo rojo
It's great song
Why there is girls as Cellos 😌😂
A wonderful song my girlfriend I wish you a happy life
Everyone is now featuring a reggaetonero in their videos cus they like that dembow beat!!!!! 🤘🏼
😎🎧😊 I Love It <3 💽🎛💽🎚 from🇮🇹❤💋
Me enamoré 😍 Nicky el mejor !!!
💝💝💜💜PERFECCION 💛💛💚💚💙💙💙💗💗💗💋💋💘💘👣👣👀👀❤💓💖💖💖💞💝💝💝💖💖💕💕💝💝💜💜💜💜💛💚💙💙💙💚💛💜💛💚💙💋💋💘❤💓💓💓💓❤
She looks amaiziiiiing 😍
Beautiful song !♥♥
Te amo
I love this
wooow Shakira .. u make sth... perfect perfect perfect....
o fuj
L'Europa ama esta cançion ❤
#FuerzaMexico
yep still hot
Amazing ...love love you...
pinche shakira bailas bien sensual😂😈
:)
Yes 👑 Queen......💚💛💜
Magnifico!
shakira amtes eras chevere :v
http://kimechanic.com/1STA :3
Ecuador te ama!
Like me all
y hermosa y cantas super lindo
Escuchen -PERROS- de Paulina Rubio
Bsjshs
https://youtu.be/41s6cPBO55I
Super
👏👏✌👌👍
Gerard Piqué tem ciume  hehehe
https://soundcloud.com/emerson-osorio-182107109  🔥 🔥 REMERSON CLICK HERE! NOW!
Ussas bots puta mierda ven aqui y te meto la pinga
Top beat
Ahahahah is my new favorito song
El el min 0:01 los instrumentos son presonas
Q linda! Se nota q es la cantante mas versatil y como ella ninguna
Shakira siempre hermosa😍 Amo el video y su baile❤
A mi me encanto la canción la letra el ritmo súper buena perooo me decepciono totalmente el video 😟 esperaba algo mejor 👎
ME ENCANTO!!!!!!!!!!\nBuena cancion y buen video💚💚💚💚💚💚💚
Con su cabello oscuro se ve hermosa me trae recuerdos de mi shaki favorita de ciega sorda muda 😢😍
Like si la olles todos los dias
Mirá que tengo una canción tengo un tema para ti pela avía un pelado con cáncer me ablo y se murió de cáncer tremendo tema pelado con canser
por favor shakira ya cambia d baile el mismo en todos los videos q haces x dios mismo movimientos roboticos......cancion mas pura mierda igual q el bailado d shakira
Porque a shakira siempre le dan ataques en los videos??\n<3
AQUÍ EN MILANO ITALIA :) LA ESPERAMOS CON SU TOUR'EL DORADO* ESTE  03 DE DICIEMBRE 😉🎻🎼🎶🎵🎤...✈✈🎵🎤🎶
Está canción mueve todo mi cuerpo es la mejor. va para mi😜
Tu me confundes y yo no sé qué hacer ' 😎😎😂😂
definitivamente ni hay dupla mala con niki jam alfrente yo si decia que este tipo triunfaba por que triunfaba es que era imposible que el unico regaetonero que tiene voz no fuese a triunfar.
esa canción me encanta  pero con ese tipo que se hace llamar cantante se la daña
Like sí crees que shakira no tiene tantas tetas pero sí un culote
"Que verga, como esto tiene tantas visitas"
"shakira, love you so much. But, fue un video muy esperado y es de muy mala calidad...\n\nPienso que tienes que volver para aqui a los Estados Unidos para que vuelvas a tomar o retomar la calidad de sus videos. Barcelona no es un lugar para hacer musica...hacer musica es propio de Miami o NYC...Definitivamente tienes que volver para estas tierras donde te exigen demasiado por la calidad y por la gran competencia que hay en U.S. y cambia de director musical o de videos...\nSabemos que tienes hijos y esposo, y que tu tiempo es mas limitado. Por eso debes entregarte con mas concentracion y calidad en tus proyectos. Te cuento que no puedes darte el lujo de la mediocridad porque hoy en dia te ve el planeta entero y debe haber concordancia con el contenido y con la imagen o video. Acuerdate de esto siempre: Una idea, una imagen, un sentimiento. \nNo hagas las cosas por hacerlas sino por su vocacion natural musical....Tu album tienes unas canciones super bellas, realmente una obra musical como lo son: Amarillo, Nada, Toneladas, Deja Vu, Comme Moi, and when a woman. Pero sus videos deben estar a una altura universal....\n\nTu no tienes derecho a ser superficial o mediocre, Por que? porque el planeta entero espera mas de ti, y te exige mas, y tambien porque de ti dependen miles de niños por alimentar en paises en via de desarrollo.  Y el planeta entero espera un buen disco y un todo fabuloso para el Proximo Mundial....\n\nEscoge y trabaja con los mejores musicos o personas de la musica del mundo, tu te lo mereces....\n\nDeja a Pique con el balon y Tu a la musica, y asi cada uno a sus zapatos= Zapatero a tus zapatos...."
Lo único rescatable del video fue volver a ver a Shak pelirroja 😍😍😍
"T-T extraño a la shakira de antes, ahora solo son puras colaboraciones de reggaeton ( si ne gusta el Reggaeton) pero la esencia de shakira era otra PD: buena canción :D"
"cuando fue tu cambio?? escuchaba MOSCAS EN LA CASA, como cambiaste!!! :("
porque últimamente Shakira en todos los videos baila igual.😔😴
ADICTIVA (^_-)
pera
👌👌👌💜😍
Linda! ♥♥♥
😃😃😃😃
aaaa
Vamos shakifan esta bajando tendencia comenten:\n#perrofiel\n#shakira\n#perrofieloficial\n\nA subir de nuevo!
Me dieron ganas de ver Rabiosa
Temazo\nhttps://m.youtube.com/watch?v=p3rUjW2k1Wc&index=47&list=PL5l9eEURzWKjFsuHnjUXXsoary9BTQudQ
Love from India😘
Likes si los perritos son bonitos 🐶🐶🐶🐶🐶🐩🐕
Esta cansion es igual que mi relacion la mera verdad 😄eso me dice mi novia XD
like pon los dos
"Like si crees que Shakira vas a dejar a piqué por mí, 😍😘😙"
que era una canción muy buena. realmente lo disfruté. Y todos ustedes saben que el baile está en el punto cuando ven los videos de Shakira pero de todos modos impresionante pista bebé\nAnd in English the song was actually pretty good and her dancing is always on point. Hot video
shakira jamas pasara de moda?\nque barbara:-)
"Estamos en 2017 y Shakira siempre baila igual. Es tan aburrido como baila Shakira, que ya no tiene gracia, y esta tan vieja. El video esta de la patada. No me gusta esta cancion. Que feos estan los dos! Esta mil veces mejor Jennifer Lopez."
hola espero te encuentres bien.. te invito a escuchar mi primer sencillo soy ronnie y me encantaría contar con tu apoyo.. no tengo el apoyo de una disquera.. pero quisiera mostrar mi música al mundo espero te guste un abrazo gigante y que Dios t bendiga Suscríbete
Hola gente todavia se estan realizando rescates para salvar vidas humanas por el reciente sismo del 19 de sep 2017 de la ciudad de Mexico los necesitamos no le hagan caso a Televisa los quieren distraer para que no vayan a ayudar pero Mexico los necesita!
"4.96M diarios, así empezo 'Chantaje' seguro subiremos muy pronto, está canción supera a todos los sencillos de el dorado"
"Que en la calle sea un príncipe ,pero qué en mi cama un salvaje peligroso 💕♪"
Muy buena canción Shakira y nicky jam 😉😎
Merece estar en él #1 me encanta 😍😘
Siento mucho la espera pero valdrá la pena cuando te esté besando 😢💕💕💕
"Una de las latinas mas bellas sin duda!! 😘 Orgullo Latino, esta canción esta subtitulada en inglés también, ahora a los gringos les gusta mas nuestra musica latina jajajjajja cuando antes era al revés, nosotros traducíamos sus canciones al español."
31.3 Vamos Por Los 20 #Certificados
Yo tengo un perro de esos si asies es un Huski siberiano y es ambra y es un perro fiel🐶
ya vieron a shak cantando ZOMBIE de cramberrys en su karaoke carpol ??? kien la kiere ver haciendo eso en concierto...??? yoooooooo love it... yo lo que quiero es pasarla biennnn
#FuerzaMexico
Aburriiiiiiiidoooooo! Danza repetitiva. Shakira se ah estancado.
Shakira no me gusta como te queda el rojo de pelo
No están buena como la de Wisin y Yandel como antes🎚️🎼🎧
#Fuerza mexico
Tipico se estreno el videoclip de lonely togheter que es mejor que esta mejor que esta mierda de música pero en mi país lo ponen en tendencia perro fiel.
Y yo que pensaba que perro fiel también llegaría a los 1000 millones en tiempo récord. 😓
Shakira me gustaría que hicieras una canción con bad bunny
"Hi I am Amyas Amyas this is my Facebook ID Awww, real name Sayma Sultana Bubly, Nike name Bubly"
