,numbers
good,514
beautiful,341
best,286
amazing,192
new,176
great,193
real,100
perfect,142
more,135
little,128
other,119
nice,74
bad,138
better,100
happy,111
old,91
awesome,90
only,93
first,86
dead,89
many,87
gorgeous,56
favorite,81
incredible,55
hard,72
proud,61
cool,49
sad,54
long,46
high,41
whole,41
cute,31
last,47
pure,31
different,29
deep,39
