,numbers
good,53
beautiful,8
best,25
amazing,12
new,24
great,8
real,6
perfect,2
more,6
little,4
other,6
nice,12
bad,7
better,6
happy,6
old,4
awesome,8
only,8
first,6
dead,2
many,2
gorgeous,18
favorite,1
incredible,0
hard,2
proud,6
cool,4
sad,6
long,6
high,6
whole,0
cute,2
last,2
pure,2
different,8
deep,4
