,numbers
good,42
beautiful,8
best,18
amazing,9
new,20
great,7
real,5
perfect,1
more,4
little,3
other,5
nice,11
bad,5
better,5
happy,6
old,4
awesome,5
only,6
first,4
dead,2
many,2
gorgeous,17
favorite,1
incredible,0
hard,2
proud,4
cool,4
sad,5
long,4
high,4
whole,0
cute,2
last,2
pure,2
different,7
deep,4
