,numbers
good,234
beautiful,162
best,173
amazing,106
new,81
great,55
real,37
perfect,14
more,60
little,15
other,56
nice,39
bad,35
better,34
happy,41
old,37
awesome,29
only,23
first,28
dead,64
many,46
gorgeous,44
favorite,41
incredible,30
hard,12
proud,29
cool,36
sad,38
long,17
high,26
whole,39
cute,5
last,4
pure,22
different,29
deep,23
