,numbers
good,505
beautiful,331
best,280
amazing,192
new,176
great,190
real,100
perfect,136
more,132
little,126
other,119
nice,71
bad,129
better,94
happy,111
old,88
awesome,87
only,93
first,83
dead,86
many,87
gorgeous,51
favorite,81
incredible,55
hard,72
proud,61
cool,49
sad,54
long,46
high,41
whole,41
cute,31
last,47
pure,31
different,29
deep,39
