,numbers
good,475
beautiful,289
best,260
amazing,164
new,160
great,128
real,76
perfect,108
more,110
little,99
other,95
nice,65
bad,99
better,86
happy,95
old,82
awesome,77
only,69
first,69
dead,84
many,83
gorgeous,46
favorite,73
incredible,51
hard,64
proud,57
cool,49
sad,54
long,38
high,41
whole,41
cute,27
last,39
pure,31
different,29
deep,31
