,numbers
good,401
beautiful,243
best,226
amazing,141
new,134
great,88
real,59
perfect,70
more,77
little,61
other,81
nice,60
bad,82
better,68
happy,66
old,69
awesome,50
only,49
first,54
dead,74
many,61
gorgeous,44
favorite,61
incredible,42
hard,40
proud,42
cool,49
sad,42
long,30
high,38
whole,41
cute,18
last,18
pure,31
different,29
deep,24
