,numbers
good,520
beautiful,343
best,288
amazing,194
new,180
great,196
real,103
perfect,143
more,138
little,128
other,119
nice,75
bad,139
better,100
happy,111
old,92
awesome,91
only,93
first,88
dead,89
many,87
gorgeous,56
favorite,81
incredible,55
hard,73
proud,61
cool,50
sad,55
long,47
high,42
whole,42
cute,31
last,47
pure,31
different,29
deep,39
