,numbers
good,498
beautiful,319
best,276
amazing,185
new,172
great,173
real,95
perfect,131
more,123
little,118
other,111
nice,70
bad,123
better,93
happy,108
old,86
awesome,83
only,83
first,79
dead,86
many,85
gorgeous,50
favorite,79
incredible,54
hard,70
proud,60
cool,49
sad,54
long,44
high,41
whole,41
cute,30
last,43
pure,31
different,29
deep,37
