,numbers
good,32
beautiful,2
best,13
amazing,7
new,12
great,4
real,3
perfect,1
more,4
little,2
other,3
nice,6
bad,3
better,5
happy,3
old,2
awesome,4
only,4
first,3
dead,1
many,0
gorgeous,9
favorite,0
incredible,0
hard,1
proud,3
cool,2
sad,3
long,3
high,2
whole,0
cute,1
last,1
pure,1
different,4
deep,2
