,numbers
good,474
beautiful,289
best,258
amazing,164
new,159
great,127
real,76
perfect,107
more,109
little,99
other,95
nice,65
bad,99
better,86
happy,94
old,82
awesome,76
only,69
first,68
dead,83
many,82
gorgeous,46
favorite,73
incredible,51
hard,64
proud,54
cool,49
sad,54
long,37
high,41
whole,41
cute,27
last,39
pure,31
different,29
deep,31
