,numbers
good,229
beautiful,162
best,170
amazing,105
new,80
great,54
real,37
perfect,14
more,59
little,15
other,55
nice,39
bad,34
better,34
happy,40
old,34
awesome,28
only,22
first,28
dead,64
many,46
gorgeous,44
favorite,40
incredible,30
hard,12
proud,29
cool,36
sad,38
long,17
high,26
whole,39
cute,5
last,4
pure,22
different,28
deep,23
