,numbers
good,50
beautiful,8
best,22
amazing,10
new,24
great,8
real,6
perfect,2
more,5
little,4
other,6
nice,11
bad,7
better,6
happy,6
old,4
awesome,7
only,8
first,5
dead,2
many,2
gorgeous,17
favorite,1
incredible,0
hard,2
proud,6
cool,4
sad,5
long,6
high,6
whole,0
cute,2
last,2
pure,2
different,8
deep,4
