,numbers
good,500
beautiful,319
best,278
amazing,187
new,174
great,180
real,100
perfect,131
more,123
little,119
other,115
nice,70
bad,125
better,93
happy,110
old,86
awesome,83
only,85
first,80
dead,86
many,85
gorgeous,50
favorite,80
incredible,54
hard,72
proud,61
cool,49
sad,54
long,46
high,41
whole,41
cute,30
last,43
pure,31
different,29
deep,39
