,numbers
good,261
beautiful,178
best,180
amazing,111
new,87
great,60
real,40
perfect,23
more,61
little,19
other,60
nice,44
bad,45
better,38
happy,48
old,40
awesome,34
only,27
first,32
dead,66
many,47
gorgeous,44
favorite,43
incredible,31
hard,14
proud,29
cool,37
sad,38
long,18
high,27
whole,41
cute,6
last,5
pure,23
different,29
deep,23
