,numbers
good,87
beautiful,44
best,78
amazing,22
new,44
great,18
real,10
perfect,6
more,19
little,5
other,11
nice,20
bad,19
better,7
happy,12
old,9
awesome,8
only,11
first,6
dead,47
many,16
gorgeous,35
favorite,17
incredible,3
hard,2
proud,13
cool,24
sad,13
long,11
high,17
whole,4
cute,3
last,3
pure,17
different,10
deep,7
