,numbers
good,525
beautiful,345
best,292
amazing,201
new,183
great,198
real,103
perfect,144
more,141
little,128
other,122
nice,78
bad,140
better,103
happy,113
old,92
awesome,95
only,93
first,89
dead,90
many,90
gorgeous,58
favorite,83
incredible,55
hard,73
proud,62
cool,50
sad,55
long,47
high,44
whole,42
cute,32
last,49
pure,31
different,31
deep,39
