,numbers
good,522
beautiful,344
best,289
amazing,198
new,183
great,197
real,103
perfect,143
more,140
little,128
other,121
nice,76
bad,140
better,103
happy,112
old,92
awesome,93
only,93
first,88
dead,90
many,88
gorgeous,58
favorite,82
incredible,55
hard,73
proud,62
cool,50
sad,55
long,47
high,42
whole,42
cute,31
last,48
pure,31
different,31
deep,39
