,numbers
good,446
beautiful,270
best,246
amazing,153
new,149
great,105
real,70
perfect,92
more,92
little,91
other,87
nice,63
bad,89
better,81
happy,85
old,77
awesome,64
only,58
first,60
dead,79
many,77
gorgeous,44
favorite,71
incredible,49
hard,58
proud,50
cool,49
sad,51
long,34
high,41
whole,41
cute,26
last,31
pure,31
different,29
deep,28
