,numbers
good,102
beautiful,54
best,94
amazing,30
new,53
great,25
real,13
perfect,8
more,27
little,5
other,15
nice,25
bad,22
better,10
happy,14
old,10
awesome,10
only,13
first,8
dead,59
many,22
gorgeous,38
favorite,23
incredible,4
hard,2
proud,18
cool,36
sad,16
long,13
high,19
whole,9
cute,3
last,3
pure,22
different,11
deep,9
