,numbers
good,89
beautiful,52
best,79
amazing,23
new,44
great,19
real,10
perfect,6
more,22
little,5
other,11
nice,20
bad,20
better,7
happy,13
old,10
awesome,8
only,12
first,6
dead,47
many,18
gorgeous,38
favorite,17
incredible,4
hard,2
proud,14
cool,24
sad,14
long,11
high,17
whole,4
cute,3
last,3
pure,22
different,10
deep,8
