,numbers
good,384
beautiful,240
best,218
amazing,139
new,120
great,83
real,58
perfect,67
more,75
little,57
other,80
nice,59
bad,77
better,61
happy,66
old,63
awesome,47
only,47
first,50
dead,74
many,59
gorgeous,44
favorite,59
incredible,40
hard,35
proud,39
cool,46
sad,42
long,28
high,35
whole,41
cute,17
last,16
pure,29
different,29
deep,24
