,numbers
good,394
beautiful,241
best,221
amazing,139
new,127
great,85
real,58
perfect,68
more,75
little,59
other,80
nice,59
bad,81
better,64
happy,66
old,66
awesome,49
only,48
first,53
dead,74
many,60
gorgeous,44
favorite,60
incredible,41
hard,37
proud,39
cool,47
sad,42
long,28
high,37
whole,41
cute,17
last,17
pure,30
different,29
deep,24
