,numbers
good,142
beautiful,67
best,108
amazing,55
new,74
great,41
real,28
perfect,8
more,49
little,5
other,33
nice,31
bad,25
better,25
happy,27
old,15
awesome,19
only,17
first,19
dead,64
many,38
gorgeous,38
favorite,31
incredible,4
hard,3
proud,25
cool,36
sad,21
long,13
high,20
whole,21
cute,3
last,4
pure,22
different,15
deep,14
