,numbers
good,508
beautiful,337
best,282
amazing,192
new,176
great,191
real,100
perfect,138
more,133
little,128
other,119
nice,72
bad,132
better,96
happy,111
old,89
awesome,88
only,93
first,84
dead,87
many,87
gorgeous,54
favorite,81
incredible,55
hard,72
proud,61
cool,49
sad,54
long,46
high,41
whole,41
cute,31
last,47
pure,31
different,29
deep,39
