,numbers
good,64
beautiful,15
best,34
amazing,14
new,31
great,10
real,6
perfect,3
more,9
little,5
other,8
nice,14
bad,10
better,7
happy,10
old,7
awesome,8
only,9
first,6
dead,3
many,4
gorgeous,29
favorite,4
incredible,1
hard,2
proud,8
cool,6
sad,7
long,8
high,6
whole,1
cute,3
last,3
pure,7
different,10
deep,5
