,numbers
good,206
beautiful,131
best,156
amazing,93
new,78
great,50
real,34
perfect,13
more,57
little,11
other,49
nice,38
bad,32
better,31
happy,37
old,28
awesome,25
only,20
first,25
dead,64
many,46
gorgeous,42
favorite,37
incredible,23
hard,10
proud,29
cool,36
sad,36
long,16
high,24
whole,36
cute,5
last,4
pure,22
different,24
deep,21
