,numbers
good,215
beautiful,134
best,160
amazing,97
new,78
great,52
real,35
perfect,14
more,57
little,11
other,51
nice,39
bad,32
better,32
happy,38
old,28
awesome,26
only,20
first,26
dead,64
many,46
gorgeous,42
favorite,38
incredible,28
hard,10
proud,29
cool,36
sad,36
long,17
high,24
whole,37
cute,5
last,4
pure,22
different,26
deep,21
