,numbers
good,60
beautiful,15
best,31
amazing,14
new,30
great,10
real,6
perfect,2
more,9
little,4
other,8
nice,14
bad,10
better,6
happy,10
old,7
awesome,8
only,9
first,6
dead,3
many,4
gorgeous,29
favorite,4
incredible,1
hard,2
proud,8
cool,6
sad,7
long,6
high,6
whole,1
cute,3
last,3
pure,7
different,10
deep,5
