,numbers
good,399
beautiful,241
best,224
amazing,139
new,134
great,87
real,58
perfect,68
more,75
little,59
other,80
nice,59
bad,82
better,67
happy,66
old,69
awesome,50
only,49
first,54
dead,74
many,61
gorgeous,44
favorite,61
incredible,42
hard,39
proud,39
cool,48
sad,42
long,28
high,38
whole,41
cute,17
last,18
pure,31
different,29
deep,24
