,numbers
good,220
beautiful,162
best,167
amazing,104
new,79
great,53
real,37
perfect,14
more,58
little,15
other,52
nice,39
bad,33
better,34
happy,39
old,31
awesome,27
only,21
first,28
dead,64
many,46
gorgeous,44
favorite,39
incredible,30
hard,12
proud,29
cool,36
sad,38
long,17
high,26
whole,39
cute,5
last,4
pure,22
different,27
deep,23
