,numbers
good,439
beautiful,265
best,242
amazing,152
new,146
great,101
real,68
perfect,88
more,89
little,83
other,86
nice,63
bad,88
better,79
happy,81
old,76
awesome,61
only,56
first,59
dead,78
many,73
gorgeous,44
favorite,68
incredible,47
hard,54
proud,47
cool,49
sad,49
long,33
high,40
whole,41
cute,24
last,28
pure,31
different,29
deep,27
