,numbers
good,501
beautiful,325
best,280
amazing,192
new,174
great,184
real,100
perfect,134
more,124
little,123
other,115
nice,71
bad,127
better,94
happy,111
old,86
awesome,83
only,85
first,81
dead,86
many,85
gorgeous,50
favorite,81
incredible,55
hard,72
proud,61
cool,49
sad,54
long,46
high,41
whole,41
cute,31
last,43
pure,31
different,29
deep,39
