,numbers
good,425
beautiful,255
best,236
amazing,147
new,141
great,95
real,65
perfect,84
more,83
little,73
other,85
nice,63
bad,88
better,73
happy,75
old,73
awesome,56
only,53
first,58
dead,77
many,67
gorgeous,44
favorite,65
incredible,44
hard,46
proud,46
cool,49
sad,45
long,32
high,39
whole,41
cute,21
last,22
pure,31
different,29
deep,25
