,numbers
good,107
beautiful,56
best,96
amazing,32
new,56
great,27
real,20
perfect,8
more,28
little,5
other,16
nice,27
bad,22
better,11
happy,16
old,14
awesome,11
only,13
first,9
dead,60
many,22
gorgeous,38
favorite,23
incredible,4
hard,2
proud,18
cool,36
sad,16
long,13
high,20
whole,9
cute,3
last,4
pure,22
different,11
deep,9
