,numbers
good,151
beautiful,70
best,112
amazing,60
new,74
great,41
real,28
perfect,8
more,50
little,5
other,35
nice,31
bad,26
better,25
happy,28
old,16
awesome,19
only,17
first,19
dead,64
many,40
gorgeous,38
favorite,31
incredible,4
hard,4
proud,26
cool,36
sad,24
long,13
high,20
whole,23
cute,3
last,4
pure,22
different,15
deep,15
