,numbers
good,466
beautiful,288
best,257
amazing,162
new,157
great,127
real,76
perfect,105
more,107
little,99
other,95
nice,65
bad,99
better,86
happy,92
old,81
awesome,73
only,69
first,67
dead,82
many,82
gorgeous,46
favorite,73
incredible,51
hard,64
proud,54
cool,49
sad,53
long,37
high,41
whole,41
cute,27
last,38
pure,31
different,29
deep,31
