,numbers
good,424
beautiful,250
best,232
amazing,146
new,141
great,95
real,64
perfect,76
more,83
little,73
other,83
nice,61
bad,87
better,72
happy,75
old,73
awesome,56
only,53
first,56
dead,77
many,66
gorgeous,44
favorite,65
incredible,44
hard,46
proud,46
cool,49
sad,45
long,32
high,39
whole,41
cute,21
last,22
pure,31
different,29
deep,25
