,numbers
good,72
beautiful,27
best,50
amazing,17
new,36
great,13
real,8
perfect,4
more,14
little,5
other,9
nice,16
bad,13
better,7
happy,11
old,8
awesome,8
only,10
first,6
dead,25
many,8
gorgeous,32
favorite,8
incredible,2
hard,2
proud,10
cool,12
sad,10
long,9
high,9
whole,2
cute,3
last,3
pure,12
different,10
deep,6
