,numbers
good,91
beautiful,53
best,82
amazing,24
new,47
great,20
real,10
perfect,6
more,22
little,5
other,12
nice,20
bad,21
better,7
happy,13
old,10
awesome,8
only,12
first,6
dead,47
many,18
gorgeous,38
favorite,20
incredible,4
hard,2
proud,14
cool,24
sad,14
long,11
high,17
whole,5
cute,3
last,3
pure,22
different,10
deep,8
